"class","sample","1.02_567.3333n","1.32_480.3092m/z","1.32_495.3370n","1.54_509.3486n","1.82_523.3658n","1.83_508.3403m/z","4.77_807.5028m/z","4.86_857.5183m/z","5.35_859.5325m/z","5.82_885.5481m/z","5.84_809.5169m/z","5.93_747.4981m/z","6.04_835.5335m/z","6.34_723.4959m/z","6.77_887.5651m/z","6.90_913.5804m/z","7.00_744.5549m/z","7.01_889.5806m/z","7.29_772.5874m/z","7.30_788.6180m/z"
"healthy","MS15006086",423447.931568959,226177.876665345,74080883.6134643,1301435.39882153,34866662.6608266,187770.071201448,6606.06412986222,485079.930960969,133987.47793625,43316.2082238464,15353.8680107594,12679.1361814863,516754.767072288,215747.893374559,1949223.5232393,158507.931126977,11082827.2181844,513439.008548618,3896438.13880488,32971846.2927833
"healthy","MS15006087",755295.138595851,226973.762201928,72672886.6334635,1012583.43293358,32157307.7872601,179331.651810239,6157.57220765663,708131.378995892,111279.8428084,29533.0849863053,61798.458050356,17071.0334703664,951027.61276241,396042.130999753,1347342.61218706,217912.781081906,12433025.8943189,646545.093882152,4285641.77175488,35882244.4699582
"healthy","MS15006088",573050.40571106,254993.394889185,79532001.8064353,1124231.71673242,36299983.986981,192018.813440365,19878.135417669,923633.716771682,145972.044756436,35253.3661081503,54464.135118747,32168.1365786556,822702.718910919,646495.552747245,1873732.57378551,229923.11861679,11379246.6679149,435752.751342627,4037363.84655884,31574368.8545969
"healthy","MS15006089",540029.225315781,258352.721268582,83026660.3257115,1259339.50546004,32445174.195841,160680.510256005,3407.57908521645,588686.09923348,61708.7911626614,7603.97920744285,16120.776005599,2778.19219910234,418689.686798816,71659.6056188339,814419.384949193,120811.622094411,6436852.62815279,191271.453501521,2139684.15754368,17132843.0613259
"healthy","MS15006090",555371.206581013,221974.372039797,61960653.7999529,1425113.01724523,30241913.0068327,188622.635374794,1426.57723006825,519109.178559462,50611.8246241089,6202.39626997415,7094.74458885239,10861.004075461,235352.168209954,170264.181101241,794419.846841745,75537.9533685516,5553763.13968354,131645.308159364,2240094.84894255,15579040.7778533
"healthy","MS15006091",1013089.42623478,284325.825177262,86347083.4907717,1277325.7786684,37680555.8186105,187373.211810134,65130.6092430943,1457796.18690896,217994.181264303,65072.5545122649,135460.727567497,15364.2526300482,1017965.53874772,641389.957091978,1802985.83165996,241529.04931132,15247245.4686005,443268.637331807,4239639.99180309,40004574.4409855
"healthy","MS15006092",572189.101608273,265931.331477183,81588122.7992792,1248043.77481683,32307080.1489694,170096.191841398,2327.33856016955,745230.511115011,75378.7360072618,19062.2061311894,31829.6034284443,11598.3261872008,537771.44037144,10741.9849234343,1074393.44446872,144253.789770586,7768204.49162362,243694.489886962,2471133.42525471,20874674.0990199
"healthy","MS15006093",646257.088503923,299530.852617816,90287848.572134,1276356.337965,45494085.4954175,257267.073661883,27249.1744804574,1337380.06551058,202192.565468525,32027.7543159809,53967.5667981072,7115.21578504277,728523.197564564,269171.641432947,2056976.80129904,185574.700708024,10257412.0260313,287031.065194176,3509033.67256988,31415727.1634535
"healthy","MS15006094",699809.105116255,341189.48554371,93038753.8660052,1430051.01050611,53288055.3444109,299579.305429642,37357.9220604703,2051924.22122717,486084.776306572,193459.10147917,52697.2814441511,3443.74366701569,915194.187025376,149593.130522123,3615732.15082918,378023.127906901,17889750.5376207,855215.093931535,7784174.42008341,68638629.9767483
"healthy","MS15006095",879375.227660914,304197.515021146,86544520.9445158,1518774.38456246,48230672.469403,252931.756683793,7292.15705813957,883139.734883081,111844.60624068,45906.8699486433,36316.8385797425,2253.39884240161,592880.711356923,241132.257372139,2423363.32945225,238644.835234634,13973351.430994,339906.746497263,4625353.28341852,47142921.6472678
"healthy","MS15006096",1301178.3297048,286715.512961771,84081625.814551,1253112.70380302,49381013.0517464,253114.481426824,4770.48130917707,851804.773622801,116301.031734056,30303.6276478066,33669.9505242741,19271.3767475464,678059.126771586,366178.521067656,1892854.08551515,163366.462874777,11482028.7551368,408760.056714325,4594816.29270672,44338816.6218737
"healthy","MS15006097",441318.035940484,206118.037874676,64350931.83169,1028566.37358794,27618380.7609251,150680.747037705,15107.1669554517,815946.054608082,114705.11090777,58374.4546517028,54859.6811760226,24467.4103407295,1309928.37039095,538587.222965548,1864334.11026998,266483.649489026,16350741.5460237,826791.852008871,5163336.89785787,51490056.6551779
"healthy","MS15006098",437834.314075778,256709.986066682,72393512.3647799,949716.943955087,30882109.1215751,186475.246918477,94683.4686998684,1630932.71605291,293712.583549168,57609.2557694079,65812.2461906594,3761.60162089734,802731.9488051,122813.057097727,1956814.65649155,191516.263434536,14977124.1874072,346973.517663455,5201683.25917115,49054384.7641301
"healthy","MS15006099",446026.132784709,254938.66852414,71811233.9949396,932997.57617306,29951701.1314572,177248.647864676,82708.0289367716,1636373.89208946,312803.198734619,54018.034142301,64215.5142883212,11938.7512090605,787367.917836092,23832.5079262421,2053266.03567118,188183.863099452,14837033.6591385,347854.665864215,5167736.88278294,49199354.5372303
"healthy","MS15006100",639257.556001092,280224.965564808,87660351.7661805,1627713.84869715,49125485.8400935,262568.844480039,25796.01260342,869928.475154324,208418.828867904,51914.6963618619,44047.9105289545,3814.04080740594,764468.373040253,31508.5526260173,3224496.17400084,207853.573738289,10908361.2301769,386327.778155863,4056712.65044628,38806811.651778
"healthy","MS15006101",848380.80204489,291615.487689094,88453587.9982194,1527948.82905719,49567617.549571,248938.497893407,6847.06660286599,841863.920089027,101874.93870155,35932.7080277294,35415.5195584125,1194.74815401956,537108.839136101,237467.303970818,2329774.26198915,238755.981521036,13315991.9340578,326199.885873576,4691631.99954969,46179575.3373186
"healthy","MS15006102",722722.55301825,241962.605602502,69356211.328475,990193.502851138,29914946.5741333,197558.266237024,7935.39445375953,585306.518659602,79410.6673986886,17004.6711372022,23615.2313467941,448.944746693667,573647.52643938,165029.751648083,1240405.38437614,154897.415893156,11141539.1936016,299806.461771989,3626248.46398462,28714452.5086564
"healthy","MS15006103",487562.394999465,273893.717591295,78262714.8160794,1059397.46877655,34837108.3695354,195645.741573956,75574.4966332826,1760025.82619939,341297.905808443,74216.4989492191,79368.9714416916,2877.04777011311,909568.582837125,57826.9544960228,2497158.31702151,200934.200897206,14749339.6603639,392113.439750795,5679879.73727685,54050425.9912636
"healthy","MS15006104",965248.675918969,224276.559352069,70188482.9704546,1241505.3797412,25854738.9697716,149103.792463944,3896.84023983857,498337.347961314,58079.1875067738,11642.708371581,20926.25884084,20468.8356068713,429426.186938679,327450.710086098,870354.520508354,90339.2172309413,9944494.80681065,179725.817656897,3229825.78288495,27910142.4795938
